x	tac
33.2784	3.51343e-08
33.2792	3.51344e-08
33.28	3.51345e-08
33.2808	3.51346e-08
33.2816	3.51346e-08
33.2824	3.51347e-08
33.2832	3.51348e-08
33.284	3.51349e-08
33.2848	3.51349e-08
33.2856	3.5135e-08
33.2864	3.51351e-08
33.2872	3.51351e-08
33.288	3.51352e-08
33.2888	3.51353e-08
33.2896	3.51354e-08
33.2904	3.51354e-08
33.2912	3.51355e-08
33.292	3.51356e-08
33.2928	3.51357e-08
33.2936	3.51357e-08
33.2944	3.51358e-08
33.2952	3.51359e-08
33.296	3.5136e-08
33.2968	3.5136e-08
33.2976	3.51361e-08
33.2984	3.51362e-08
33.2992	3.51363e-08
33.3	3.51363e-08
33.3008	3.51364e-08
33.3016	3.51365e-08
33.3024	3.19461e-08
33.3032	3.19462e-08
33.304	3.19463e-08
33.3048	3.19463e-08
33.3056	3.19464e-08
33.3064	3.19465e-08
33.3072	3.19465e-08
33.308	3.19466e-08
33.3088	3.19467e-08
33.3096	3.19467e-08
33.3104	3.19468e-08
33.3112	3.19469e-08
33.312	3.19469e-08
33.3128	3.1947e-08
33.3136	3.19471e-08
33.3144	3.19471e-08
33.3152	3.19472e-08
33.316	3.19473e-08
33.3168	3.19473e-08
33.3176	3.19474e-08
33.3184	3.19475e-08
33.3192	3.19475e-08
33.32	3.19476e-08
33.3208	3.19477e-08
33.3216	3.19477e-08
33.3224	3.19478e-08
33.3232	3.19479e-08
33.324	3.19479e-08
33.3248	3.1948e-08
33.3256	3.19481e-08
33.3264	3.19481e-08
33.3272	3.19482e-08
33.328	2.9204e-08
33.3288	2.92041e-08
33.3296	2.92041e-08
33.3304	2.92042e-08
33.3312	2.92043e-08
33.332	2.92043e-08
33.3328	2.92044e-08
33.3336	2.92044e-08
33.3344	2.92045e-08
33.3352	2.92046e-08
33.336	2.92046e-08
33.3368	2.92047e-08
33.3376	2.92048e-08
33.3384	2.92048e-08
33.3392	2.92049e-08
33.34	2.92049e-08
33.3408	2.9205e-08
33.3416	2.92051e-08
33.3424	2.92051e-08
33.3432	2.92052e-08
33.344	2.92052e-08
33.3448	2.92053e-08
33.3456	2.92054e-08
33.3464	2.92054e-08
33.3472	2.92055e-08
33.348	2.92056e-08
33.3488	2.92056e-08
33.3496	2.92057e-08
33.3504	2.92057e-08
33.3512	2.92058e-08
33.352	2.92059e-08
33.3528	2.68259e-08
33.3536	2.6826e-08
33.3544	2.68261e-08
33.3552	2.68261e-08
33.356	2.68262e-08
33.3568	2.68262e-08
33.3576	2.68263e-08
33.3584	2.68263e-08
33.3592	2.68264e-08
